id,value
tag,
tag.Pink Floyd,
tag.Pink Floyd.Progressive rock,100
tag.Pink Floyd.classic rock,79
tag.Pink Floyd.Psychedelic Rock,72
tag.Pink Floyd.rock,53
tag.Pink Floyd.psychedelic,44
tag.Pink Floyd.british,13
tag.Pink Floyd.Progressive,11
tag.Pink Floyd.Pink Floyd,10
tag.Pink Floyd.70s,8
tag.Pink Floyd.alternative,6
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Metallica,
tag.Metallica.thrash metal,100
tag.Metallica.metal,91
tag.Metallica.heavy metal,74
tag.Metallica.hard rock,41
tag.Metallica.rock,34
tag.Metallica.seen live,30
tag.Metallica.metallica,10
tag.Metallica.speed metal,7
tag.Metallica.classic rock,6
tag.Metallica.american,6
tag.Linkin Park,
tag.Linkin Park.rock,100
tag.Linkin Park.Nu Metal,92
tag.Linkin Park.alternative rock,74
tag.Linkin Park.alternative,67
tag.Linkin Park.metal,37
tag.Linkin Park.seen live,21
tag.Linkin Park.rapcore,14
tag.Linkin Park.Linkin Park,14
tag.Linkin Park.Nu-metal,13
tag.Linkin Park.alternative metal,7
