id,value
tag,
tag.Radiohead,
tag.Radiohead.alternative,100
tag.Radiohead.alternative rock,81
tag.Radiohead.rock,73
tag.Radiohead.indie,59
tag.Radiohead.electronic,48
tag.Radiohead.seen live,27
tag.Radiohead.british,22
tag.Radiohead.britpop,17
tag.Radiohead.indie rock,15
tag.Radiohead.experimental,14
tag.Red Hot Chili Peppers,
tag.Red Hot Chili Peppers.rock,100
tag.Red Hot Chili Peppers.alternative rock,59
tag.Red Hot Chili Peppers.alternative,54
tag.Red Hot Chili Peppers.funk,50
tag.Red Hot Chili Peppers.Funk Rock,50
tag.Red Hot Chili Peppers.seen live,23
tag.Red Hot Chili Peppers.Red Hot Chili Peppers,8
tag.Red Hot Chili Peppers.punk,6
tag.Red Hot Chili Peppers.american,5
tag.Red Hot Chili Peppers.indie,5
tag.Coldplay,
tag.Coldplay.rock,100
tag.Coldplay.alternative,87
tag.Coldplay.britpop,81
tag.Coldplay.alternative rock,67
tag.Coldplay.indie,55
tag.Coldplay.british,28
tag.Coldplay.seen live,22
tag.Coldplay.Coldplay,19
tag.Coldplay.pop,18
tag.Coldplay.indie rock,11
tag.Muse,
tag.Muse.alternative rock,100
tag.Muse.rock,83
tag.Muse.alternative,70
tag.Muse.Progressive rock,57
tag.Muse.seen live,46
tag.Muse.indie,43
tag.Muse.british,21
tag.Muse.indie rock,12
tag.Muse.britpop,10
tag.Muse.Muse,10
tag.Linkin Park,
tag.Linkin Park.rock,100
tag.Linkin Park.Nu Metal,92
tag.Linkin Park.alternative rock,74
tag.Linkin Park.alternative,67
tag.Linkin Park.metal,37
tag.Linkin Park.seen live,21
tag.Linkin Park.rapcore,14
tag.Linkin Park.Linkin Park,14
tag.Linkin Park.Nu-metal,13
tag.Linkin Park.alternative metal,7
