id,value
tag,
tag.Kanye West,
tag.Kanye West.Hip-Hop,100
tag.Kanye West.rap,68
tag.Kanye West.hip hop,40
tag.Kanye West.rnb,31
tag.Kanye West.Kanye West,24
tag.Kanye West.seen live,22
tag.Kanye West.Gay Fish,6
tag.Kanye West.american,6
tag.Kanye West.pop,6
tag.Kanye West.chicago,5
tag.The Weeknd,
tag.The Weeknd.rnb,100
tag.The Weeknd.electronic,80
tag.The Weeknd.dubstep,43
tag.The Weeknd.Canadian,39
tag.The Weeknd.prog-rnb,27
tag.The Weeknd.r&b,17
tag.The Weeknd.seen live,14
tag.The Weeknd.alternative rnb,10
tag.The Weeknd.pop,8
tag.The Weeknd.Hip-Hop,8
tag.Drake,
tag.Drake.Hip-Hop,100
tag.Drake.rap,71
tag.Drake.rnb,49
tag.Drake.hip hop,37
tag.Drake.Canadian,37
tag.Drake.Drake,16
tag.Drake.seen live,8
tag.Drake.r&b,7
tag.Drake.pop,6
tag.Drake.young money,5
tag.Adele,
tag.Adele.soul,100
tag.Adele.female vocalists,82
tag.Adele.british,66
tag.Adele.singer-songwriter,51
tag.Adele.indie,40
tag.Adele.pop,19
tag.Adele.Adele,12
tag.Adele.jazz,8
tag.Adele.acoustic,4
tag.Adele.female vocalist,4
tag.Rihanna,
tag.Rihanna.pop,100
tag.Rihanna.rnb,89
tag.Rihanna.female vocalists,63
tag.Rihanna.dance,56
tag.Rihanna.Hip-Hop,41
tag.Rihanna.Rihanna,21
tag.Rihanna.r&b,9
tag.Rihanna.seen live,7
tag.Rihanna.hip hop,6
tag.Rihanna.reggae,6
